Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
52.94,0.226789,0.225453,0.222285,0.23459,0.184614,0.192183,0.183921,0.182237,0.171149,0.192,0.18583,0.222482,0.2114,0.21534,0.19448,0.208295,0.198477,0.20863,0.190941,0.191285,0.192198,0.195865,0.209709,0.217402,0.175351,0.200578,0.194988,0,0,0,0,,
54.94,0.226347,0.22624,0.223709,0.238691,0.185544,0.190455,0.185437,0.181579,0.171778,0.192009,0.186042,0.22325,0.212157,0.214997,0.192383,0.209505,0.195272,0.208502,0.190501,0.190333,0.193816,0.196235,0.208761,0.217302,0.173913,0.200097,0.194258,0,0,0,0,,
56.94,0.225533,0.226886,0.222851,0.23816,0.184546,0.192197,0.185412,0.182813,0.17157,0.189964,0.186499,0.222633,0.209261,0.212775,0.192018,0.207146,0.196959,0.209029,0.190809,0.192798,0.192337,0.196424,0.206933,0.215932,0.175226,0.199292,0.195859,0,0,0,0,,
58.94,0.223593,0.223713,0.221216,0.233306,0.183087,0.189652,0.182239,0.179904,0.168229,0.188507,0.185197,0.219625,0.207435,0.211138,0.189678,0.204423,0.19441,0.205734,0.188545,0.186929,0.189119,0.19017,0.205082,0.213386,0.1739,0.195703,0.193589,0,0,0,0,,
60.94,0.225037,0.224779,0.222935,0.234361,0.182349,0.19024,0.182406,0.179644,0.169849,0.188872,0.184002,0.221636,0.207046,0.210102,0.190753,0.205041,0.195477,0.206046,0.188386,0.18881,0.192354,0.193711,0.203439,0.213591,0.173562,0.195613,0.193745,0,0,0,0,,
62.94,0.225114,0.226204,0.219427,0.233938,0.182961,0.18899,0.182763,0.180944,0.16849,0.18989,0.185234,0.217948,0.207311,0.209592,0.190865,0.203713,0.197458,0.20505,0.188045,0.187148,0.192714,0.195787,0.203921,0.214016,0.173407,0.193173,0.193672,0,0,0,0,,
64.94,0.224063,0.228533,0.221377,0.236022,0.183599,0.192579,0.184956,0.17968,0.171079,0.189362,0.185787,0.220347,0.208501,0.210966,0.191005,0.205857,0.195866,0.205559,0.188805,0.188577,0.192792,0.194118,0.204051,0.215975,0.174104,0.195936,0.195908,0,0,0,0,,
66.94,0.225483,0.224189,0.223169,0.234387,0.18408,0.192053,0.183835,0.180471,0.171056,0.190602,0.186298,0.219856,0.207627,0.211674,0.190985,0.204873,0.196927,0.204911,0.188362,0.188631,0.193266,0.194587,0.201469,0.215798,0.174912,0.196265,0.194098,0,0,0,0,,
68.94,0.225928,0.224203,0.222712,0.233675,0.183557,0.19127,0.184422,0.17996,0.169839,0.189405,0.184454,0.21661,0.205762,0.210769,0.191475,0.203554,0.195438,0.204871,0.187908,0.188647,0.19339,0.19094,0.203954,0.212696,0.174407,0.195869,0.194815,0,0,0,0,,
70.94,0.226309,0.224708,0.222483,0.233182,0.183315,0.192736,0.184961,0.179816,0.169951,0.190926,0.185318,0.217488,0.204673,0.209599,0.191649,0.203007,0.194911,0.204601,0.188056,0.187375,0.192846,0.190128,0.199825,0.214006,0.174917,0.196279,0.193265,0,0,0,0,,
